start_name,end_name,time_seconds
科學二館(理學院大樓),小木屋鬆餅,97
小木屋鬆餅,科學二館(理學院大樓),97
文學二館,文學一館,45
文學一館,文學二館,45
文學二館,第二行政中心,95
第二行政中心,文學二館,95
文學二館,總圖書館,61
總圖書館,文學二館,61
文學二館,人文社會科學大樓,68
人文社會科學大樓,文學二館,68
文學二館,行政大樓,69
行政大樓,文學二館,69
文學一館,總圖書館,104
總圖書館,文學一館,104
文學一館,志希館,110
志希館,文學一館,110
文學一館,人文社會科學大樓,53
人文社會科學大樓,文學一館,53
文學一館,行政大樓,108
行政大樓,文學一館,108
文學一館,小木屋鬆餅,111
小木屋鬆餅,文學一館,111
文學一館,香米便當,109
香米便當,文學一館,109
鴻經館,管理學院二館,77
管理學院二館,鴻經館,77
鴻經館,綜教館(語言中心),54
綜教館(語言中心),鴻經館,54
鴻經館,志希館,99
志希館,鴻經館,99
鴻經館,科五館(S5),51
科五館(S5),鴻經館,51
鴻經館,理學院教學館(普化實驗大樓),65
理學院教學館(普化實驗大樓),鴻經館,65
鴻經館,科三館,48
科三館,鴻經館,48
鴻經館,小木屋鬆餅,101
小木屋鬆餅,鴻經館,101
管理學院二館,綜教館(語言中心),73
綜教館(語言中心),管理學院二館,73
管理學院二館,志希館,46
志希館,管理學院二館,46
管理學院二館,科五館(S5),104
科五館(S5),管理學院二館,104
管理學院二館,科三館,123
科三館,管理學院二館,123
管理學院二館,男十二舍,119
男十二舍,管理學院二館,119
管理學院二館,中大會館,113
中大會館,管理學院二館,113
管理學院二館,曦望居,62
曦望居,管理學院二館,62
管理學院二館,小木屋鬆餅,72
小木屋鬆餅,管理學院二館,72
綜教館(語言中心),志希館,65
志希館,綜教館(語言中心),65
綜教館(語言中心),科五館(S5),105
科五館(S5),綜教館(語言中心),105
綜教館(語言中心),理學院教學館(普化實驗大樓),118
理學院教學館(普化實驗大樓),綜教館(語言中心),118
綜教館(語言中心),科三館,74
科三館,綜教館(語言中心),74
綜教館(語言中心),小木屋鬆餅,53
小木屋鬆餅,綜教館(語言中心),53
第二行政中心,總圖書館,55
總圖書館,第二行政中心,55
第二行政中心,地球科學院,114
地球科學院,第二行政中心,114
第二行政中心,工程一館,112
工程一館,第二行政中心,112
第二行政中心,行政大樓,120
行政大樓,第二行政中心,120
第二行政中心,大禮堂,105
大禮堂,第二行政中心,105
總圖書館,地球科學院,84
地球科學院,總圖書館,84
總圖書館,人文社會科學大樓,124
人文社會科學大樓,總圖書館,124
總圖書館,行政大樓,64
行政大樓,總圖書館,64
太空及遙測研究中心,環工所,51
環工所,太空及遙測研究中心,51
太空及遙測研究中心,工程五館,77
工程五館,太空及遙測研究中心,77
太空及遙測研究中心,前瞻科技研究中心,122
前瞻科技研究中心,太空及遙測研究中心,122
太空及遙測研究中心,工程三館(機械館),102
工程三館(機械館),太空及遙測研究中心,102
志希館,中大會館,122
中大會館,志希館,122
志希館,曦望居,86
曦望居,志希館,86
志希館,小木屋鬆餅,32
小木屋鬆餅,志希館,32
地球科學院,大講堂,117
大講堂,地球科學院,117
地球科學院,行政大樓,94
行政大樓,地球科學院,94
地球科學院,國際學生宿舍,112
國際學生宿舍,地球科學院,112
客家學院,中大雲鼎,71
